 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國112年底 ,,,,,,,,,,,,,, 中華民國112年底 ,,,,,,,   單位：人 ,,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,420,442 "," 130,289 "," 644,767 "," 140,812 "," 160,490 "," 164,776 "," 178,689 "," 1,020,636 "," 997,721 "," 1,036,497 "," 1,312,835 "," 1,546,787 "," 1,592,344 "," 1,648,966 "," 2,002,576 "," 1,892,585 "," 1,764,060 "," 1,778,673 "," 1,754,721 "," 1,540,729 "," 1,209,328 "," 638,643 "," 480,767 "," 271,053 "," 119,033 "," 32,448 "," 4,984 ",
 總　　計 , 男 ," 11,553,267 "," 67,401 "," 333,732 "," 72,839 "," 82,828 "," 85,485 "," 92,580 "," 528,263 "," 517,742 "," 541,235 "," 684,099 "," 800,683 "," 823,350 "," 831,586 "," 986,636 "," 925,136 "," 859,477 "," 866,736 "," 845,099 "," 729,215 "," 560,094 "," 285,379 "," 201,014 "," 103,398 "," 47,217 "," 13,627 "," 2,148 ",
, 女 ," 11,867,175 "," 62,888 "," 311,035 "," 67,973 "," 77,662 "," 79,291 "," 86,109 "," 492,373 "," 479,979 "," 495,262 "," 628,736 "," 746,104 "," 768,994 "," 817,380 "," 1,015,940 "," 967,449 "," 904,583 "," 911,937 "," 909,622 "," 811,514 "," 649,234 "," 353,264 "," 279,753 "," 167,655 "," 71,816 "," 18,821 "," 2,836 ",
, 計 ," 4,041,120 "," 18,780 "," 104,937 "," 22,958 "," 26,215 "," 26,608 "," 29,156 "," 169,130 "," 163,903 "," 172,044 "," 217,931 "," 260,088 "," 277,884 "," 288,912 "," 357,116 "," 342,263 "," 313,380 "," 313,027 "," 313,548 "," 279,789 "," 216,400 "," 105,381 "," 70,399 "," 35,047 "," 15,387 "," 4,833 ", 941 ,
 新 北 市 , 男 ," 1,965,445 "," 9,623 "," 54,222 "," 11,874 "," 13,500 "," 13,753 "," 15,095 "," 87,226 "," 84,899 "," 89,977 "," 113,705 "," 134,422 "," 143,874 "," 144,916 "," 175,222 "," 165,871 "," 149,631 "," 145,327 "," 143,638 "," 126,972 "," 97,810 "," 47,030 "," 29,056 "," 12,963 "," 6,433 "," 2,155 ", 473 ,
, 女 ," 2,075,675 "," 9,157 "," 50,715 "," 11,084 "," 12,715 "," 12,855 "," 14,061 "," 81,904 "," 79,004 "," 82,067 "," 104,226 "," 125,666 "," 134,010 "," 143,996 "," 181,894 "," 176,392 "," 163,749 "," 167,700 "," 169,910 "," 152,817 "," 118,590 "," 58,351 "," 41,343 "," 22,084 "," 8,954 "," 2,678 ", 468 ,
, 計 ," 2,511,886 "," 14,574 "," 68,246 "," 14,417 "," 16,766 "," 17,585 "," 19,478 "," 113,547 "," 113,702 "," 99,896 "," 114,734 "," 138,893 "," 151,299 "," 170,982 "," 212,778 "," 199,146 "," 185,797 "," 186,324 "," 188,813 "," 184,266 "," 158,497 "," 87,937 "," 62,389 "," 35,454 "," 17,835 "," 5,686 "," 1,091 ",
 臺 北 市 , 男 ," 1,187,064 "," 7,492 "," 35,060 "," 7,363 "," 8,572 "," 9,152 "," 9,973 "," 58,516 "," 58,787 "," 51,989 "," 59,245 "," 70,237 "," 74,193 "," 80,028 "," 99,169 "," 92,281 "," 85,794 "," 85,644 "," 86,032 "," 83,805 "," 71,171 "," 38,700 "," 25,489 "," 13,106 "," 7,311 "," 2,502 ", 513 ,
