 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國112年底 ,,,,,,,,,,,,,, 中華民國112年底 ,,,,,,,   單位：人 ,,
, 女 ," 1,324,822 "," 7,082 "," 33,186 "," 7,054 "," 8,194 "," 8,433 "," 9,505 "," 55,031 "," 54,915 "," 47,907 "," 55,489 "," 68,656 "," 77,106 "," 90,954 "," 113,609 "," 106,865 "," 100,003 "," 100,680 "," 102,781 "," 100,461 "," 87,326 "," 49,237 "," 36,900 "," 22,348 "," 10,524 "," 3,184 ", 578 ,
, 計 ," 2,317,445 "," 16,846 "," 77,385 "," 17,305 "," 19,398 "," 19,590 "," 21,092 "," 115,451 "," 109,047 "," 112,175 "," 138,635 "," 162,343 "," 170,709 "," 174,286 "," 209,712 "," 189,602 "," 171,578 "," 165,393 "," 155,344 "," 134,617 "," 100,610 "," 49,411 "," 34,168 "," 18,041 "," 8,923 "," 2,763 ", 406 ,
 桃 園 市 , 男 ," 1,142,786 "," 8,648 "," 39,961 "," 8,889 "," 10,053 "," 10,091 "," 10,928 "," 59,913 "," 56,672 "," 58,853 "," 72,186 "," 83,381 "," 86,934 "," 86,940 "," 102,486 "," 92,748 "," 83,280 "," 79,427 "," 73,964 "," 62,894 "," 46,013 "," 21,760 "," 13,979 "," 6,750 "," 4,372 "," 1,439 ", 186 ,
, 女 ," 1,174,659 "," 8,198 "," 37,424 "," 8,416 "," 9,345 "," 9,499 "," 10,164 "," 55,538 "," 52,375 "," 53,322 "," 66,449 "," 78,962 "," 83,775 "," 87,346 "," 107,226 "," 96,854 "," 88,298 "," 85,966 "," 81,380 "," 71,723 "," 54,597 "," 27,651 "," 20,189 "," 11,291 "," 4,551 "," 1,324 ", 220 ,
, 計 ," 2,845,909 "," 16,943 "," 87,046 "," 19,115 "," 21,505 "," 22,138 "," 24,288 "," 140,599 "," 133,327 "," 135,069 "," 168,644 "," 200,277 "," 206,222 "," 212,664 "," 250,329 "," 227,848 "," 209,371 "," 209,080 "," 199,189 "," 170,031 "," 128,734 "," 64,757 "," 46,609 "," 25,188 "," 10,708 "," 2,888 ", 386 ,
 臺 中 市 , 男 ," 1,391,681 "," 8,909 "," 45,114 "," 9,928 "," 11,096 "," 11,455 "," 12,635 "," 72,854 "," 69,168 "," 69,947 "," 87,182 "," 102,930 "," 104,961 "," 106,000 "," 122,224 "," 109,207 "," 98,475 "," 98,431 "," 93,627 "," 79,520 "," 59,556 "," 28,709 "," 19,419 "," 9,604 "," 4,340 "," 1,327 ", 177 ,
, 女 ," 1,454,228 "," 8,034 "," 41,932 "," 9,187 "," 10,409 "," 10,683 "," 11,653 "," 67,745 "," 64,159 "," 65,122 "," 81,462 "," 97,347 "," 101,261 "," 106,664 "," 128,105 "," 118,641 "," 110,896 "," 110,649 "," 105,562 "," 90,511 "," 69,178 "," 36,048 "," 27,190 "," 15,584 "," 6,368 "," 1,561 ", 209 ,
, 計 ," 1,859,946 "," 9,057 "," 46,870 "," 9,771 "," 11,425 "," 12,194 "," 13,480 "," 78,672 "," 77,101 "," 78,644 "," 98,809 "," 119,013 "," 125,304 "," 134,320 "," 162,587 "," 150,730 "," 137,849 "," 144,873 "," 147,048 "," 125,752 "," 95,816 "," 50,517 "," 39,549 "," 24,327 "," 10,367 "," 2,469 ", 272 ,
 臺 南 市 , 男 ," 923,152 "," 4,671 "," 24,408 "," 5,132 "," 5,966 "," 6,385 "," 6,925 "," 40,707 "," 39,953 "," 40,902 "," 51,474 "," 62,008 "," 65,178 "," 68,292 "," 80,734 "," 74,620 "," 67,062 "," 70,955 "," 72,027 "," 61,251 "," 45,586 "," 22,658 "," 16,516 "," 9,342 "," 3,831 ", 902 , 75 ,
, 女 ," 936,794 "," 4,386 "," 22,462 "," 4,639 "," 5,459 "," 5,809 "," 6,555 "," 37,965 "," 37,148 "," 37,742 "," 47,335 "," 57,005 "," 60,126 "," 66,028 "," 81,853 "," 76,110 "," 70,787 "," 73,918 "," 75,021 "," 64,501 "," 50,230 "," 27,859 "," 23,033 "," 14,985 "," 6,536 "," 1,567 ", 197 ,
, 計 ," 2,737,941 "," 15,177 "," 71,923 "," 16,091 "," 18,163 "," 18,275 "," 19,394 "," 110,827 "," 108,006 "," 115,768 "," 149,099 "," 177,978 "," 183,453 "," 188,542 "," 232,345 "," 229,413 "," 214,185 "," 211,480 "," 206,699 "," 189,140 "," 153,902 "," 79,837 "," 56,248 "," 28,821 "," 11,707 "," 2,994 ", 397 ,
 高 雄 市 , 男 ," 1,343,106 "," 7,926 "," 37,124 "," 8,325 "," 9,334 "," 9,467 "," 9,998 "," 57,563 "," 55,824 "," 60,304 "," 77,294 "," 91,774 "," 94,608 "," 95,261 "," 114,523 "," 111,699 "," 104,159 "," 103,092 "," 98,127 "," 87,509 "," 69,882 "," 35,424 "," 23,476 "," 10,989 "," 4,937 "," 1,424 ", 187 ,
, 女 ," 1,394,835 "," 7,251 "," 34,799 "," 7,766 "," 8,829 "," 8,808 "," 9,396 "," 53,264 "," 52,182 "," 55,464 "," 71,805 "," 86,204 "," 88,845 "," 93,281 "," 117,822 "," 117,714 "," 110,026 "," 108,388 "," 108,572 "," 101,631 "," 84,020 "," 44,413 "," 32,772 "," 17,832 "," 6,770 "," 1,570 ", 210 ,
, 計 ," 6,948,007 "," 38,173 "," 184,734 "," 40,342 "," 46,070 "," 47,504 "," 50,818 "," 287,977 "," 288,255 "," 316,634 "," 414,082 "," 475,170 "," 464,966 "," 467,956 "," 566,447 "," 542,386 "," 519,105 "," 533,759 "," 530,073 "," 445,630 "," 348,761 "," 197,344 "," 168,848 "," 102,416 "," 43,294 "," 10,566 "," 1,431 ",
 臺 灣 省 , 男 ," 3,520,412 "," 19,735 "," 95,971 "," 20,914 "," 23,808 "," 24,720 "," 26,529 "," 149,188 "," 150,142 "," 166,022 "," 217,346 "," 249,295 "," 247,149 "," 244,399 "," 286,667 "," 273,356 "," 264,579 "," 276,558 "," 270,545 "," 221,431 "," 166,786 "," 89,393 "," 71,892 "," 39,886 "," 15,729 "," 3,820 ", 523 ,
, 女 ," 3,427,595 "," 18,438 "," 88,763 "," 19,428 "," 22,262 "," 22,784 "," 24,289 "," 138,789 "," 138,113 "," 150,612 "," 196,736 "," 225,875 "," 217,817 "," 223,557 "," 279,780 "," 269,030 "," 254,526 "," 257,201 "," 259,528 "," 224,199 "," 181,975 "," 107,951 "," 96,956 "," 62,530 "," 27,565 "," 6,746 ", 908 ,
, 計 ," 449,890 "," 2,324 "," 11,745 "," 2,438 "," 2,985 "," 3,036 "," 3,286 "," 18,251 "," 18,433 "," 19,688 "," 25,928 "," 31,875 "," 31,309 "," 29,469 "," 34,695 "," 33,858 "," 34,475 "," 35,757 "," 35,575 "," 29,402 "," 22,212 "," 12,326 "," 11,807 "," 7,101 "," 2,890 ", 677 , 93 ,
 宜 蘭 縣 , 男 ," 225,873 "," 1,214 "," 6,055 "," 1,224 "," 1,583 "," 1,544 "," 1,704 "," 9,414 "," 9,603 "," 10,200 "," 13,553 "," 16,707 "," 16,546 "," 15,309 "," 17,441 "," 16,749 "," 17,402 "," 18,034 "," 17,762 "," 14,424 "," 10,548 "," 5,694 "," 5,120 "," 2,794 "," 1,048 ", 232 , 24 ,
, 女 ," 224,017 "," 1,110 "," 5,690 "," 1,214 "," 1,402 "," 1,492 "," 1,582 "," 8,837 "," 8,830 "," 9,488 "," 12,375 "," 15,168 "," 14,763 "," 14,160 "," 17,254 "," 17,109 "," 17,073 "," 17,723 "," 17,813 "," 14,978 "," 11,664 "," 6,632 "," 6,687 "," 4,307 "," 1,842 ", 445 , 69 ,
, 計 ," 589,289 "," 4,139 "," 21,565 "," 4,668 "," 5,406 "," 5,592 "," 5,899 "," 33,652 "," 31,837 "," 30,836 "," 34,873 "," 38,836 "," 41,473 "," 43,693 "," 54,626 "," 50,445 "," 44,234 "," 39,862 "," 36,646 "," 28,550 "," 21,197 "," 11,921 "," 10,815 "," 6,517 "," 2,721 ", 758 , 93 ,
 新 竹 縣 , 男 ," 299,933 "," 2,136 "," 11,172 "," 2,467 "," 2,735 "," 2,891 "," 3,079 "," 17,514 "," 16,465 "," 16,177 "," 18,350 "," 20,385 "," 22,191 "," 22,405 "," 27,011 "," 24,943 "," 22,503 "," 20,509 "," 18,897 "," 14,454 "," 10,224 "," 5,571 "," 4,814 "," 2,750 "," 1,136 ", 290 , 36 ,
, 女 ," 289,356 "," 2,003 "," 10,393 "," 2,201 "," 2,671 "," 2,701 "," 2,820 "," 16,138 "," 15,372 "," 14,659 "," 16,523 "," 18,451 "," 19,282 "," 21,288 "," 27,615 "," 25,502 "," 21,731 "," 19,353 "," 17,749 "," 14,096 "," 10,973 "," 6,350 "," 6,001 "," 3,767 "," 1,585 ", 468 , 57 ,
, 計 ," 534,575 "," 2,254 "," 12,409 "," 2,491 "," 3,026 "," 3,257 "," 3,635 "," 23,443 "," 23,229 "," 25,036 "," 31,790 "," 35,933 "," 36,533 "," 37,177 "," 45,161 "," 40,576 "," 39,284 "," 39,916 "," 41,267 "," 33,567 "," 25,775 "," 15,009 "," 13,325 "," 8,293 "," 3,532 ", 961 , 105 ,
 苗 栗 縣 , 男 ," 274,920 "," 1,192 "," 6,456 "," 1,294 "," 1,545 "," 1,691 "," 1,926 "," 12,067 "," 12,025 "," 13,242 "," 16,880 "," 19,247 "," 19,953 "," 19,728 "," 23,109 "," 20,733 "," 20,434 "," 20,863 "," 21,290 "," 17,151 "," 12,470 "," 6,978 "," 5,919 "," 3,466 "," 1,366 ", 326 , 25 ,
, 女 ," 259,655 "," 1,062 "," 5,953 "," 1,197 "," 1,481 "," 1,566 "," 1,709 "," 11,376 "," 11,204 "," 11,794 "," 14,910 "," 16,686 "," 16,580 "," 17,449 "," 22,052 "," 19,843 "," 18,850 "," 19,053 "," 19,977 "," 16,416 "," 13,305 "," 8,031 "," 7,406 "," 4,827 "," 2,166 ", 635 , 80 ,
, 計 ," 1,239,048 "," 8,574 "," 36,427 "," 8,406 "," 9,339 "," 9,159 "," 9,523 "," 51,410 "," 51,286 "," 58,086 "," 76,219 "," 85,906 "," 86,173 "," 88,546 "," 103,203 "," 95,373 "," 85,918 "," 89,632 "," 90,966 "," 78,122 "," 61,206 "," 34,482 "," 29,387 "," 18,355 "," 7,826 "," 1,711 ", 240 ,
 彰 化 縣 , 男 ," 628,065 "," 4,443 "," 18,922 "," 4,318 "," 4,839 "," 4,804 "," 4,961 "," 26,744 "," 26,881 "," 30,512 "," 39,944 "," 44,563 "," 45,121 "," 46,060 "," 52,478 "," 48,870 "," 44,139 "," 46,052 "," 46,238 "," 38,905 "," 29,534 "," 15,873 "," 12,640 "," 6,975 "," 2,605 ", 501 , 65 ,
, 女 ," 610,983 "," 4,131 "," 17,505 "," 4,088 "," 4,500 "," 4,355 "," 4,562 "," 24,666 "," 24,405 "," 27,574 "," 36,275 "," 41,343 "," 41,052 "," 42,486 "," 50,725 "," 46,503 "," 41,779 "," 43,580 "," 44,728 "," 39,217 "," 31,672 "," 18,609 "," 16,747 "," 11,380 "," 5,221 "," 1,210 ", 175 ,
, 計 ," 477,094 "," 2,278 "," 11,062 "," 2,379 "," 2,755 "," 2,889 "," 3,039 "," 17,559 "," 17,872 "," 20,795 "," 28,112 "," 33,094 "," 31,769 "," 30,710 "," 36,344 "," 34,197 "," 35,182 "," 38,629 "," 40,094 "," 33,484 "," 26,178 "," 14,770 "," 12,830 "," 7,827 "," 3,414 ", 786 , 108 ,
 南 投 縣 , 男 ," 242,993 "," 1,175 "," 5,825 "," 1,246 "," 1,458 "," 1,526 "," 1,595 "," 9,132 "," 9,307 "," 10,752 "," 14,743 "," 17,287 "," 17,232 "," 16,461 "," 18,878 "," 17,360 "," 17,810 "," 19,922 "," 20,408 "," 16,798 "," 12,798 "," 6,790 "," 5,544 "," 3,145 "," 1,296 ", 291 , 39 ,
, 女 ," 234,101 "," 1,103 "," 5,237 "," 1,133 "," 1,297 "," 1,363 "," 1,444 "," 8,427 "," 8,565 "," 10,043 "," 13,369 "," 15,807 "," 14,537 "," 14,249 "," 17,466 "," 16,837 "," 17,372 "," 18,707 "," 19,686 "," 16,686 "," 13,380 "," 7,980 "," 7,286 "," 4,682 "," 2,118 ", 495 , 69 ,
, 計 ," 659,468 "," 3,121 "," 15,758 "," 3,422 "," 3,898 "," 4,087 "," 4,351 "," 24,164 "," 25,726 "," 30,107 "," 40,755 "," 44,174 "," 39,915 "," 42,583 "," 53,173 "," 52,656 "," 49,305 "," 51,583 "," 50,422 "," 41,883 "," 34,417 "," 21,663 "," 19,680 "," 12,135 "," 5,022 "," 1,097 ", 129 ,
 雲 林 縣 , 男 ," 340,082 "," 1,628 "," 8,180 "," 1,780 "," 2,027 "," 2,087 "," 2,286 "," 12,426 "," 13,314 "," 15,850 "," 21,466 "," 23,453 "," 21,510 "," 22,409 "," 27,161 "," 27,194 "," 26,408 "," 28,660 "," 27,328 "," 21,624 "," 17,038 "," 9,740 "," 8,263 "," 4,479 "," 1,609 ", 309 , 33 ,
, 女 ," 319,386 "," 1,493 "," 7,578 "," 1,642 "," 1,871 "," 2,000 "," 2,065 "," 11,738 "," 12,412 "," 14,257 "," 19,289 "," 20,721 "," 18,405 "," 20,174 "," 26,012 "," 25,462 "," 22,897 "," 22,923 "," 23,094 "," 20,259 "," 17,379 "," 11,923 "," 11,417 "," 7,656 "," 3,413 ", 788 , 96 ,
, 計 ," 484,560 "," 2,205 "," 9,966 "," 2,231 "," 2,463 "," 2,643 "," 2,629 "," 14,095 "," 14,922 "," 19,980 "," 29,395 "," 33,323 "," 30,631 "," 29,908 "," 36,048 "," 36,045 "," 37,314 "," 40,859 "," 41,501 "," 34,129 "," 27,453 "," 16,257 "," 15,085 "," 9,888 "," 4,462 ", 973 , 121 ,
 嘉 義 縣 , 男 ," 250,858 "," 1,146 "," 5,135 "," 1,175 "," 1,254 "," 1,356 "," 1,350 "," 7,269 "," 7,844 "," 10,477 "," 15,486 "," 17,703 "," 16,638 "," 16,312 "," 18,715 "," 18,385 "," 19,679 "," 22,434 "," 22,613 "," 17,992 "," 13,659 "," 7,366 "," 6,319 "," 3,824 "," 1,521 ", 298 , 43 ,
, 女 ," 233,702 "," 1,059 "," 4,831 "," 1,056 "," 1,209 "," 1,287 "," 1,279 "," 6,826 "," 7,078 "," 9,503 "," 13,909 "," 15,620 "," 13,993 "," 13,596 "," 17,333 "," 17,660 "," 17,635 "," 18,425 "," 18,888 "," 16,137 "," 13,794 "," 8,891 "," 8,766 "," 6,064 "," 2,941 ", 675 , 78 ,
, 計 ," 794,997 "," 4,071 "," 18,261 "," 3,880 "," 4,456 "," 4,765 "," 5,160 "," 29,028 "," 28,553 "," 32,962 "," 46,241 "," 56,392 "," 52,696 "," 51,617 "," 62,044 "," 61,629 "," 60,772 "," 65,544 "," 65,089 "," 55,366 "," 43,687 "," 24,515 "," 19,722 "," 11,385 "," 4,372 ", 943 , 108 ,
 屏 東 縣 , 男 ," 402,917 "," 2,050 "," 9,501 "," 2,008 "," 2,315 "," 2,499 "," 2,679 "," 15,070 "," 14,892 "," 17,273 "," 24,052 "," 29,819 "," 27,939 "," 27,485 "," 31,978 "," 31,383 "," 30,682 "," 33,914 "," 32,910 "," 26,828 "," 20,782 "," 11,088 "," 8,583 "," 4,613 "," 1,645 ", 392 , 38 ,
, 女 ," 392,080 "," 2,021 "," 8,760 "," 1,872 "," 2,141 "," 2,266 "," 2,481 "," 13,958 "," 13,661 "," 15,689 "," 22,189 "," 26,573 "," 24,757 "," 24,132 "," 30,066 "," 30,246 "," 30,090 "," 31,630 "," 32,179 "," 28,538 "," 22,905 "," 13,427 "," 11,139 "," 6,772 "," 2,727 ", 551 , 70 ,
, 計 ," 211,544 "," 1,347 "," 5,486 "," 1,319 "," 1,378 "," 1,350 "," 1,439 "," 8,221 "," 8,214 "," 9,443 "," 12,654 "," 14,606 "," 13,814 "," 13,132 "," 15,971 "," 16,157 "," 17,287 "," 17,419 "," 16,781 "," 14,134 "," 11,036 "," 6,286 "," 5,011 "," 2,911 "," 1,228 ", 347 , 59 ,
 臺 東 縣 , 男 ," 107,954 ", 715 ," 2,854 ", 661 , 737 , 674 , 782 ," 4,287 "," 4,324 "," 4,980 "," 6,586 "," 7,591 "," 7,413 "," 6,974 "," 8,323 "," 8,346 "," 9,108 "," 9,238 "," 8,598 "," 6,972 "," 5,018 "," 2,762 "," 2,034 "," 1,130 ", 498 , 170 , 33 ,
, 女 ," 103,590 ", 632 ," 2,632 ", 658 , 641 , 676 , 657 ," 3,934 "," 3,890 "," 4,463 "," 6,068 "," 7,015 "," 6,401 "," 6,158 "," 7,648 "," 7,811 "," 8,179 "," 8,181 "," 8,183 "," 7,162 "," 6,018 "," 3,524 "," 2,977 "," 1,781 ", 730 , 177 , 26 ,
, 計 ," 317,489 "," 1,763 "," 8,452 "," 1,973 "," 2,072 "," 2,067 "," 2,340 "," 12,749 "," 12,638 "," 13,844 "," 18,327 "," 21,953 "," 21,170 "," 20,133 "," 24,316 "," 24,318 "," 24,824 "," 25,077 "," 25,105 "," 22,281 "," 17,019 "," 9,388 "," 7,385 "," 4,241 "," 1,895 ", 531 , 80 ,
 花 蓮 縣 , 男 ," 159,649 ", 902 ," 4,430 "," 1,053 "," 1,046 "," 1,092 "," 1,239 "," 6,650 "," 6,668 "," 7,229 "," 9,541 "," 11,481 "," 11,149 "," 10,561 "," 12,425 "," 12,232 "," 12,388 "," 12,931 "," 12,427 "," 10,903 "," 7,937 "," 4,073 "," 3,018 "," 1,660 ", 755 , 242 , 47 ,
, 女 ," 157,840 ", 861 ," 4,022 ", 920 ," 1,026 ", 975 ," 1,101 "," 6,099 "," 5,970 "," 6,615 "," 8,786 "," 10,472 "," 10,021 "," 9,572 "," 11,891 "," 12,086 "," 12,436 "," 12,146 "," 12,678 "," 11,378 "," 9,082 "," 5,315 "," 4,367 "," 2,581 "," 1,140 ", 289 , 33 ,
, 計 ," 107,739 ", 698 ," 3,249 ", 766 , 838 , 829 , 816 ," 3,361 "," 3,206 "," 4,593 "," 7,631 "," 8,068 "," 7,825 "," 7,691 "," 8,302 "," 8,179 "," 7,899 "," 8,337 "," 8,267 "," 6,973 "," 5,461 "," 3,042 "," 2,273 "," 1,649 ", 794 , 208 , 33 ,
 澎 湖 縣 , 男 ," 55,208 ", 346 ," 1,664 ", 374 , 436 , 441 , 413 ," 1,805 "," 1,659 "," 2,466 "," 4,230 "," 4,314 "," 4,186 "," 4,007 "," 4,100 "," 4,073 "," 4,114 "," 4,354 "," 4,286 "," 3,589 "," 2,615 "," 1,396 ", 973 , 659 , 288 , 73 , 11 ,
, 女 ," 52,531 ", 352 ," 1,585 ", 392 , 402 , 388 , 403 ," 1,556 "," 1,547 "," 2,127 "," 3,401 "," 3,754 "," 3,639 "," 3,684 "," 4,202 "," 4,106 "," 3,785 "," 3,983 "," 3,981 "," 3,384 "," 2,846 "," 1,646 "," 1,300 ", 990 , 506 , 135 , 22 ,
, 計 ," 362,255 "," 1,299 "," 7,647 "," 1,584 "," 1,848 "," 2,026 "," 2,189 "," 13,046 "," 12,953 "," 14,469 "," 19,921 "," 24,917 "," 24,738 "," 23,042 "," 27,979 "," 28,324 "," 28,935 "," 30,536 "," 31,111 "," 27,270 "," 21,174 "," 10,001 "," 8,063 "," 4,365 "," 1,803 ", 547 , 115 ,
 基 隆 市 , 男 ," 180,125 ", 677 ," 4,028 ", 858 , 974 ," 1,048 "," 1,148 "," 6,740 "," 6,654 "," 7,582 "," 10,464 "," 13,022 "," 13,211 "," 12,054 "," 14,133 "," 13,956 "," 14,278 "," 15,116 "," 15,258 "," 12,935 "," 9,732 "," 4,459 "," 3,310 "," 1,549 ", 668 , 238 , 61 ,
, 女 ," 182,130 ", 622 ," 3,619 ", 726 , 874 , 978 ," 1,041 "," 6,306 "," 6,299 "," 6,887 "," 9,457 "," 11,895 "," 11,527 "," 10,988 "," 13,846 "," 14,368 "," 14,657 "," 15,420 "," 15,853 "," 14,335 "," 11,442 "," 5,542 "," 4,753 "," 2,816 "," 1,135 ", 309 , 54 ,
, 計 ," 456,475 "," 2,877 "," 15,978 "," 3,425 "," 3,950 "," 4,083 "," 4,520 "," 26,871 "," 26,699 "," 23,845 "," 25,734 "," 27,817 "," 30,010 "," 33,211 "," 43,673 "," 39,924 "," 33,918 "," 30,472 "," 28,052 "," 23,919 "," 18,715 "," 10,162 "," 7,669 "," 4,262 "," 1,911 ", 655 , 101 ,
 新 竹 市 , 男 ," 225,225 "," 1,497 "," 8,286 "," 1,769 "," 2,013 "," 2,153 "," 2,351 "," 13,872 "," 13,848 "," 12,525 "," 13,464 "," 14,420 "," 15,437 "," 16,339 "," 21,076 "," 19,640 "," 16,574 "," 14,988 "," 13,520 "," 11,141 "," 8,485 "," 4,392 "," 3,033 "," 1,567 ", 753 , 320 , 48 ,
, 女 ," 231,250 "," 1,380 "," 7,692 "," 1,656 "," 1,937 "," 1,930 "," 2,169 "," 12,999 "," 12,851 "," 11,320 "," 12,270 "," 13,397 "," 14,573 "," 16,872 "," 22,597 "," 20,284 "," 17,344 "," 15,484 "," 14,532 "," 12,778 "," 10,230 "," 5,770 "," 4,636 "," 2,695 "," 1,158 ", 335 , 53 ,
, 計 ," 263,584 "," 1,223 "," 6,729 "," 1,360 "," 1,656 "," 1,721 "," 1,992 "," 12,127 "," 12,687 "," 12,950 "," 16,502 "," 18,276 "," 16,910 "," 17,044 "," 20,912 "," 20,705 "," 19,758 "," 20,136 "," 19,197 "," 16,550 "," 13,231 "," 7,522 "," 5,796 "," 3,487 "," 1,424 ", 372 , 46 ,
 嘉 義 市 , 男 ," 126,610 ", 614 ," 3,463 ", 687 , 846 , 914 ," 1,016 "," 6,198 "," 6,658 "," 6,757 "," 8,587 "," 9,303 "," 8,623 "," 8,295 "," 9,839 "," 9,492 "," 9,060 "," 9,543 "," 9,010 "," 7,715 "," 5,946 "," 3,211 "," 2,322 "," 1,275 ", 541 , 138 , 20 ,
, 女 ," 136,974 ", 609 ," 3,266 ", 673 , 810 , 807 , 976 ," 5,929 "," 6,029 "," 6,193 "," 7,915 "," 8,973 "," 8,287 "," 8,749 "," 11,073 "," 11,213 "," 10,698 "," 10,593 "," 10,187 "," 8,835 "," 7,285 "," 4,311 "," 3,474 "," 2,212 ", 883 , 234 , 26 ,
, 計 ," 158,188 ", 739 ," 3,626 ", 813 , 948 , 882 , 983 ," 4,433 "," 4,380 "," 6,267 "," 10,901 "," 13,025 "," 12,507 "," 11,304 "," 11,262 "," 11,197 "," 12,795 "," 14,737 "," 14,007 "," 11,504 "," 6,608 "," 3,459 "," 2,557 "," 1,759 ", 812 , 249 , 60 ,
 福 建 省 , 男 ," 79,621 ", 397 ," 1,872 ", 414 , 499 , 462 , 497 ," 2,296 "," 2,297 "," 3,241 "," 5,667 "," 6,636 "," 6,453 "," 5,750 "," 5,611 "," 5,354 "," 6,497 "," 7,302 "," 7,139 "," 5,833 "," 3,290 "," 1,705 "," 1,187 ", 758 , 264 , 58 , 14 ,
, 女 ," 78,567 ", 342 ," 1,754 ", 399 , 449 , 420 , 486 ," 2,137 "," 2,083 "," 3,026 "," 5,234 "," 6,389 "," 6,054 "," 5,554 "," 5,651 "," 5,843 "," 6,298 "," 7,435 "," 6,868 "," 5,671 "," 3,318 "," 1,754 "," 1,370 "," 1,001 ", 548 , 191 , 46 ,
, 計 ," 144,149 ", 651 ," 3,211 ", 711 , 841 , 787 , 872 ," 3,966 "," 3,924 "," 5,754 "," 9,916 "," 11,835 "," 11,216 "," 10,284 "," 10,161 "," 10,165 "," 11,685 "," 13,603 "," 12,860 "," 10,605 "," 6,088 "," 3,159 "," 2,400 "," 1,638 ", 750 , 225 , 53 ,
