 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國111年底 ,,,,,,,,,,,,,, 中華民國111年底 ,,,,,,,,   單位：人 ,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 女 ," 1,436,144 "," 8,373 "," 44,020 "," 9,952 "," 10,367 "," 11,441 "," 12,260 "," 67,335 "," 62,984 "," 65,739 "," 83,116 "," 99,677 "," 99,997 "," 107,892 "," 127,648 "," 114,011 "," 111,120 "," 110,102 "," 101,880 "," 86,948 "," 62,898 "," 33,307 "," 26,459 "," 14,906 "," 6,033 "," 1,484 ", 215 ,
, 計 ," 1,852,997 "," 8,643 "," 49,391 "," 10,746 "," 11,739 "," 13,127 "," 13,779 "," 78,981 "," 76,452 "," 79,678 "," 101,673 "," 123,322 "," 126,025 "," 136,421 "," 163,055 "," 144,748 "," 139,440 "," 146,204 "," 144,819 "," 121,296 "," 89,576 "," 47,228 "," 39,033 "," 23,997 "," 10,341 "," 2,389 ", 285 ,
 臺 南 市 , 男 ," 921,168 "," 4,535 "," 25,649 "," 5,618 "," 6,168 "," 6,734 "," 7,129 "," 40,803 "," 39,685 "," 41,611 "," 53,037 "," 64,083 "," 65,880 "," 68,899 "," 81,377 "," 71,303 "," 68,059 "," 71,769 "," 70,991 "," 59,249 "," 42,664 "," 21,073 "," 16,278 "," 9,252 "," 3,993 ", 886 , 92 ,
, 女 ," 931,829 "," 4,108 "," 23,742 "," 5,128 "," 5,571 "," 6,393 "," 6,650 "," 38,178 "," 36,767 "," 38,067 "," 48,636 "," 59,239 "," 60,145 "," 67,522 "," 81,678 "," 73,445 "," 71,381 "," 74,435 "," 73,828 "," 62,047 "," 46,912 "," 26,155 "," 22,755 "," 14,745 "," 6,348 "," 1,503 ", 193 ,
, 計 ," 2,728,137 "," 15,252 "," 75,554 "," 18,198 "," 18,289 "," 19,200 "," 19,867 "," 110,957 "," 107,286 "," 118,541 "," 153,129 "," 184,011 "," 183,807 "," 191,142 "," 235,206 "," 223,420 "," 214,788 "," 210,884 "," 204,185 "," 185,682 "," 143,753 "," 73,528 "," 54,197 "," 27,701 "," 11,813 "," 2,909 ", 392 ,
 高 雄 市 , 男 ," 1,341,492 "," 7,900 "," 39,050 "," 9,381 "," 9,477 "," 9,906 "," 10,286 "," 57,577 "," 55,546 "," 61,822 "," 79,364 "," 95,244 "," 95,031 "," 96,139 "," 115,909 "," 108,868 "," 104,949 "," 102,761 "," 96,847 "," 86,094 "," 65,486 "," 32,783 "," 22,462 "," 10,729 "," 5,339 "," 1,412 ", 180 ,
, 女 ," 1,386,645 "," 7,352 "," 36,504 "," 8,817 "," 8,812 "," 9,294 "," 9,581 "," 53,380 "," 51,740 "," 56,719 "," 73,765 "," 88,767 "," 88,776 "," 95,003 "," 119,297 "," 114,552 "," 109,839 "," 108,123 "," 107,338 "," 99,588 "," 78,267 "," 40,745 "," 31,735 "," 16,972 "," 6,474 "," 1,497 ", 212 ,
, 計 ," 6,956,073 "," 38,345 "," 194,382 "," 46,062 "," 47,174 "," 50,207 "," 50,939 "," 288,999 "," 289,287 "," 327,237 "," 425,797 "," 489,645 "," 464,161 "," 478,175 "," 571,651 "," 528,177 "," 525,838 "," 538,200 "," 519,669 "," 433,622 "," 327,670 "," 190,622 "," 169,484 "," 100,581 "," 42,803 "," 10,336 "," 1,392 ",
 臺 灣 省 , 男 ," 3,529,243 "," 19,898 "," 100,903 "," 23,766 "," 24,541 "," 26,200 "," 26,396 "," 149,923 "," 151,029 "," 171,724 "," 223,013 "," 256,979 "," 247,112 "," 248,295 "," 289,191 "," 266,695 "," 270,055 "," 279,095 "," 265,397 "," 215,176 "," 156,762 "," 86,088 "," 72,414 "," 39,230 "," 15,917 "," 3,806 ", 541 ,
, 女 ," 3,426,830 "," 18,447 "," 93,479 "," 22,296 "," 22,633 "," 24,007 "," 24,543 "," 139,076 "," 138,258 "," 155,513 "," 202,784 "," 232,666 "," 217,049 "," 229,880 "," 282,460 "," 261,482 "," 255,783 "," 259,105 "," 254,272 "," 218,446 "," 170,908 "," 104,534 "," 97,070 "," 61,351 "," 26,886 "," 6,530 ", 851 ,
, 計 ," 449,062 "," 2,284 "," 12,332 "," 2,929 "," 2,923 "," 3,218 "," 3,262 "," 18,352 "," 18,173 "," 20,322 "," 26,818 "," 33,051 "," 30,864 "," 29,696 "," 34,705 "," 33,381 "," 34,929 "," 35,955 "," 34,673 "," 28,652 "," 20,406 "," 12,246 "," 11,828 "," 6,840 "," 2,806 ", 651 , 98 ,
