 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國110年底 ,,,,,,,,,,,,,, 中華民國110年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 女 ," 136,885 ", 674 ," 3,629 ", 754 , 909 , 972 , 994 ," 6,196 "," 5,885 "," 6,665 "," 8,621 "," 8,951 "," 8,222 "," 9,600 "," 11,291 "," 10,849 "," 10,823 "," 10,654 "," 9,618 "," 8,400 "," 6,341 "," 3,973 "," 3,357 "," 2,047 ", 867 , 198 , 24 
, 計 ," 155,184 "," 1,048 "," 4,125 "," 1,015 "," 1,109 "," 1,017 ", 984 ," 4,550 "," 4,087 "," 6,403 "," 11,571 "," 13,354 "," 11,787 "," 11,199 "," 11,010 "," 11,128 "," 12,772 "," 15,169 "," 13,352 "," 9,907 "," 5,242 "," 3,205 "," 2,599 "," 1,649 ", 709 , 247 , 71 
 福 建 省 , 男 ," 78,436 ", 546 ," 2,129 ", 544 , 563 , 514 , 508 ," 2,382 "," 2,168 "," 3,356 "," 6,006 "," 6,849 "," 6,055 "," 5,638 "," 5,343 "," 5,533 "," 6,517 "," 7,514 "," 6,928 "," 5,052 "," 2,633 "," 1,575 "," 1,231 ", 692 , 214 , 54 , 21 
, 女 ," 76,748 ", 502 ," 1,996 ", 471 , 546 , 503 , 476 ," 2,168 "," 1,919 "," 3,047 "," 5,565 "," 6,505 "," 5,732 "," 5,561 "," 5,667 "," 5,595 "," 6,255 "," 7,655 "," 6,424 "," 4,855 "," 2,609 "," 1,630 "," 1,368 ", 957 , 495 , 193 , 50 
, 計 ," 141,539 ", 938 ," 3,675 ", 904 , 980 , 906 , 885 ," 4,086 "," 3,640 "," 5,872 "," 10,546 "," 12,114 "," 10,651 "," 10,191 "," 9,976 "," 10,096 "," 11,699 "," 13,970 "," 12,279 "," 9,112 "," 4,800 "," 2,986 "," 2,431 "," 1,537 ", 655 , 219 , 66 
 金 門 縣 , 男 ," 70,526 ", 484 ," 1,887 ", 485 , 496 , 454 , 452 ," 2,137 "," 1,926 "," 3,067 "," 5,376 "," 6,103 "," 5,389 "," 5,066 "," 4,750 "," 4,937 "," 5,851 "," 6,790 "," 6,285 "," 4,583 "," 2,393 "," 1,454 "," 1,140 ", 649 , 195 , 45 , 19 
, 女 ," 71,013 ", 454 ," 1,788 ", 419 , 484 , 452 , 433 ," 1,949 "," 1,714 "," 2,805 "," 5,170 "," 6,011 "," 5,262 "," 5,125 "," 5,226 "," 5,159 "," 5,848 "," 7,180 "," 5,994 "," 4,529 "," 2,407 "," 1,532 "," 1,291 ", 888 , 460 , 174 , 47 
, 計 ," 13,645 ", 110 , 450 , 111 , 129 , 111 , 99 , 464 , 447 , 531 ," 1,025 "," 1,240 "," 1,136 "," 1,008 "," 1,034 "," 1,032 "," 1,073 "," 1,199 "," 1,073 ", 795 , 442 , 219 , 168 , 112 , 54 , 28 , 5 
 連 江 縣 , 男 ," 7,910 ", 62 , 242 , 59 , 67 , 60 , 56 , 245 , 242 , 289 , 630 , 746 , 666 , 572 , 593 , 596 , 666 , 724 , 643 , 469 , 240 , 121 , 91 , 43 , 19 , 9 , 2 
, 女 ," 5,735 ", 48 , 208 , 52 , 62 , 51 , 43 , 219 , 205 , 242 , 395 , 494 , 470 , 436 , 441 , 436 , 407 , 475 , 430 , 326 , 202 , 98 , 77 , 69 , 35 , 19 , 3 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,內政部戶政司 編製
          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
