 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國110年底 ,,,,,,,,,,,,,, 中華民國110年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 女 ," 1,432,373 "," 8,884 "," 46,386 "," 9,972 "," 11,162 "," 12,151 "," 13,101 "," 69,841 "," 60,804 "," 67,652 "," 88,023 "," 98,722 "," 99,249 "," 113,733 "," 125,891 "," 112,165 "," 110,863 "," 110,583 "," 98,660 "," 84,503 "," 56,868 "," 32,255 "," 25,711 "," 14,211 "," 5,804 "," 1,351 ", 214 
, 計 ," 1,862,059 "," 9,630 "," 52,414 "," 11,221 "," 12,737 "," 13,572 "," 14,884 "," 82,575 "," 73,619 "," 82,541 "," 108,482 "," 123,323 "," 126,984 "," 144,124 "," 161,564 "," 141,181 "," 141,147 "," 149,928 "," 142,341 "," 117,920 "," 82,426 "," 45,894 "," 39,201 "," 23,812 "," 10,383 "," 2,291 ", 279 
 臺 南 市 , 男 ," 927,158 "," 5,037 "," 27,160 "," 5,900 "," 6,534 "," 7,022 "," 7,704 "," 42,671 "," 38,375 "," 43,093 "," 56,606 "," 64,006 "," 66,212 "," 72,337 "," 80,911 "," 69,294 "," 69,268 "," 73,885 "," 70,340 "," 57,655 "," 39,135 "," 20,457 "," 16,323 "," 9,374 "," 4,082 ", 841 , 96 
, 女 ," 934,901 "," 4,593 "," 25,254 "," 5,321 "," 6,203 "," 6,550 "," 7,180 "," 39,904 "," 35,244 "," 39,448 "," 51,876 "," 59,317 "," 60,772 "," 71,787 "," 80,653 "," 71,887 "," 71,879 "," 76,043 "," 72,001 "," 60,265 "," 43,291 "," 25,437 "," 22,878 "," 14,438 "," 6,301 "," 1,450 ", 183 
, 計 ," 2,744,691 "," 17,393 "," 78,738 "," 18,351 "," 19,218 "," 19,914 "," 21,255 "," 115,517 "," 104,570 "," 123,699 "," 162,873 "," 184,181 "," 183,539 "," 203,181 "," 236,220 "," 221,242 "," 215,572 "," 214,243 "," 202,284 "," 183,923 "," 131,965 "," 70,663 "," 52,737 "," 26,994 "," 11,891 "," 2,905 ", 361 
 高 雄 市 , 男 ," 1,352,711 "," 8,986 "," 40,811 "," 9,523 "," 9,897 "," 10,324 "," 11,067 "," 59,906 "," 54,411 "," 64,423 "," 84,274 "," 95,491 "," 94,729 "," 101,714 "," 116,380 "," 108,061 "," 106,100 "," 104,177 "," 95,888 "," 85,496 "," 60,520 "," 31,437 "," 21,809 "," 10,955 "," 5,598 "," 1,394 ", 151 
, 女 ," 1,391,980 "," 8,407 "," 37,927 "," 8,828 "," 9,321 "," 9,590 "," 10,188 "," 55,611 "," 50,159 "," 59,276 "," 78,599 "," 88,690 "," 88,810 "," 101,467 "," 119,840 "," 113,181 "," 109,472 "," 110,066 "," 106,396 "," 98,427 "," 71,445 "," 39,226 "," 30,928 "," 16,039 "," 6,293 "," 1,511 ", 210 
, 計 ," 6,994,993 "," 43,876 "," 201,299 "," 46,865 "," 50,004 "," 50,448 "," 53,982 "," 300,858 "," 284,154 "," 344,679 "," 448,233 "," 487,471 "," 460,964 "," 504,798 "," 569,515 "," 521,277 "," 528,556 "," 548,829 "," 506,758 "," 426,262 "," 303,863 "," 190,411 "," 169,614 "," 99,327 "," 42,912 "," 9,992 "," 1,345 "
 臺 灣 省 , 男 ," 3,554,841 "," 22,590 "," 104,638 "," 24,357 "," 26,080 "," 26,106 "," 28,095 "," 155,991 "," 148,656 "," 180,791 "," 234,704 "," 256,013 "," 245,489 "," 260,265 "," 288,268 "," 264,465 "," 273,732 "," 285,082 "," 258,923 "," 211,550 "," 145,327 "," 85,893 "," 72,709 "," 39,103 "," 16,428 "," 3,718 ", 506 
, 女 ," 3,440,152 "," 21,286 "," 96,661 "," 22,508 "," 23,924 "," 24,342 "," 25,887 "," 144,867 "," 135,498 "," 163,888 "," 213,529 "," 231,458 "," 215,475 "," 244,533 "," 281,247 "," 256,812 "," 254,824 "," 263,747 "," 247,835 "," 214,712 "," 158,536 "," 104,518 "," 96,905 "," 60,224 "," 26,484 "," 6,274 ", 839 
