 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國114年底 ,,,,,,,,,,,,,, 中華民國114年底 ,,,,,,,   單位：人 ,,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 女 ," 1,470,410 "," 6,274 "," 38,195 "," 8,939 "," 8,984 "," 9,458 "," 10,814 "," 62,350 "," 69,469 "," 61,802 "," 72,247 "," 95,463 "," 103,384 "," 103,652 "," 123,631 "," 128,073 "," 109,854 "," 111,729 "," 109,211 "," 96,215 "," 79,412 "," 45,574 "," 27,090 "," 17,669 "," 7,122 "," 1,754 ", 240 ,
, 計 ," 1,852,477 "," 7,040 "," 42,775 "," 9,997 "," 10,146 "," 10,587 "," 12,045 "," 72,416 "," 82,876 "," 74,288 "," 86,349 "," 114,552 "," 124,738 "," 127,802 "," 155,184 "," 161,458 "," 135,328 "," 141,883 "," 146,412 "," 132,839 "," 106,614 "," 62,762 "," 37,566 "," 25,158 "," 11,251 "," 2,847 ", 339 ,
 臺 南 市 , 男 ," 917,451 "," 3,735 "," 22,320 "," 5,201 "," 5,257 "," 5,557 "," 6,305 "," 37,612 "," 42,761 "," 38,587 "," 44,900 "," 59,996 "," 64,856 "," 65,862 "," 77,111 "," 80,298 "," 65,621 "," 68,985 "," 71,164 "," 64,312 "," 50,455 "," 28,534 "," 15,726 "," 9,545 "," 3,949 "," 1,009 ", 113 ,
, 女 ," 935,026 "," 3,305 "," 20,455 "," 4,796 "," 4,889 "," 5,030 "," 5,740 "," 34,804 "," 40,115 "," 35,701 "," 41,449 "," 54,556 "," 59,882 "," 61,940 "," 78,073 "," 81,160 "," 69,707 "," 72,898 "," 75,248 "," 68,527 "," 56,159 "," 34,228 "," 21,840 "," 15,613 "," 7,302 "," 1,838 ", 226 ,
, 計 ," 2,718,545 "," 11,997 "," 64,952 "," 15,640 "," 15,603 "," 15,798 "," 17,911 "," 101,885 "," 115,414 "," 107,646 "," 129,405 "," 171,784 "," 183,636 "," 181,059 "," 216,302 "," 238,362 "," 211,900 "," 212,091 "," 206,857 "," 192,165 "," 168,396 "," 100,274 "," 56,156 "," 32,380 "," 12,184 "," 3,267 ", 433 ,
 高 雄 市 , 男 ," 1,329,197 "," 6,206 "," 33,616 "," 8,120 "," 8,104 "," 8,213 "," 9,179 "," 52,746 "," 59,903 "," 55,697 "," 67,197 "," 88,593 "," 94,714 "," 92,259 "," 107,087 "," 116,365 "," 102,230 "," 102,999 "," 98,533 "," 88,826 "," 75,969 "," 44,237 "," 23,622 "," 12,169 "," 4,560 "," 1,470 ", 199 ,
, 女 ," 1,389,348 "," 5,791 "," 31,336 "," 7,520 "," 7,499 "," 7,585 "," 8,732 "," 49,139 "," 55,511 "," 51,949 "," 62,208 "," 83,191 "," 88,922 "," 88,800 "," 109,215 "," 121,997 "," 109,670 "," 109,092 "," 108,324 "," 103,339 "," 92,427 "," 56,037 "," 32,534 "," 20,211 "," 7,624 "," 1,797 ", 234 ,
, 計 ," 6,867,267 "," 31,803 "," 169,022 "," 41,958 "," 40,181 "," 40,647 "," 46,236 "," 266,376 "," 301,547 "," 290,059 "," 363,919 "," 458,306 "," 467,975 "," 446,858 "," 531,559 "," 567,048 "," 504,987 "," 526,718 "," 531,816 "," 465,984 "," 383,366 "," 234,956 "," 156,097 "," 109,330 "," 46,090 "," 11,867 "," 1,584 ",
 臺 灣 省 , 男 ," 3,472,069 "," 16,409 "," 87,564 "," 21,771 "," 20,754 "," 21,081 "," 23,958 "," 138,250 "," 156,487 "," 152,023 "," 190,900 "," 240,920 "," 247,985 "," 236,818 "," 270,619 "," 284,811 "," 254,529 "," 271,021 "," 271,403 "," 232,155 "," 183,556 "," 107,229 "," 66,094 "," 42,507 "," 16,140 "," 4,072 ", 577 ,
, 女 ," 3,395,198 "," 15,394 "," 81,458 "," 20,187 "," 19,427 "," 19,566 "," 22,278 "," 128,126 "," 145,060 "," 138,036 "," 173,019 "," 217,386 "," 219,990 "," 210,040 "," 260,940 "," 282,237 "," 250,458 "," 255,697 "," 260,413 "," 233,829 "," 199,810 "," 127,727 "," 90,003 "," 66,823 "," 29,950 "," 7,795 "," 1,007 ",
, 計 ," 449,336 "," 1,883 "," 10,811 "," 2,579 "," 2,580 "," 2,560 "," 3,092 "," 17,362 "," 19,154 "," 18,304 "," 22,957 "," 30,303 "," 31,835 "," 29,346 "," 33,303 "," 35,193 "," 33,265 "," 36,114 "," 36,167 "," 31,131 "," 25,020 "," 14,539 "," 10,797 "," 7,809 "," 3,125 ", 816 , 102 ,
 宜 蘭 縣 , 男 ," 225,017 ", 958 ," 5,624 "," 1,356 "," 1,345 "," 1,292 "," 1,631 "," 8,913 "," 10,009 "," 9,424 "," 11,886 "," 15,977 "," 16,733 "," 15,470 "," 16,768 "," 17,501 "," 16,393 "," 18,238 "," 18,034 "," 15,296 "," 11,907 "," 6,768 "," 4,642 "," 3,053 "," 1,099 ", 292 , 32 ,
, 女 ," 224,319 ", 925 ," 5,187 "," 1,223 "," 1,235 "," 1,268 "," 1,461 "," 8,449 "," 9,145 "," 8,880 "," 11,071 "," 14,326 "," 15,102 "," 13,876 "," 16,535 "," 17,692 "," 16,872 "," 17,876 "," 18,133 "," 15,835 "," 13,113 "," 7,771 "," 6,155 "," 4,756 "," 2,026 ", 524 , 70 ,
, 計 ," 597,235 "," 3,030 "," 19,786 "," 4,454 "," 4,806 "," 4,938 "," 5,588 "," 31,208 "," 34,397 "," 30,005 "," 32,121 "," 38,328 "," 43,152 "," 43,778 "," 52,285 "," 54,454 "," 45,014 "," 41,359 "," 38,238 "," 31,053 "," 23,924 "," 14,242 "," 9,961 "," 7,037 "," 2,921 ", 833 , 109 ,
 新 竹 縣 , 男 ," 303,826 "," 1,574 "," 10,192 "," 2,297 "," 2,471 "," 2,593 "," 2,831 "," 16,262 "," 17,690 "," 15,729 "," 16,976 "," 20,371 "," 23,145 "," 22,980 "," 26,189 "," 26,657 "," 22,596 "," 21,080 "," 19,470 "," 15,845 "," 11,543 "," 6,659 "," 4,389 "," 2,963 "," 1,137 ", 341 , 38 ,
, 女 ," 293,409 "," 1,456 "," 9,594 "," 2,157 "," 2,335 "," 2,345 "," 2,757 "," 14,946 "," 16,707 "," 14,276 "," 15,145 "," 17,957 "," 20,007 "," 20,798 "," 26,096 "," 27,797 "," 22,418 "," 20,279 "," 18,768 "," 15,208 "," 12,381 "," 7,583 "," 5,572 "," 4,074 "," 1,784 ", 492 , 71 ,
