 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國113年底 ,,,,,,,,,,,,,, 中華民國113年底 ,,,,,,,   單位：人 ,,
, 女 ," 1,316,332 "," 7,344 "," 30,787 "," 7,114 "," 7,065 "," 8,228 "," 8,380 "," 52,250 "," 56,384 "," 47,572 "," 52,230 "," 66,278 "," 76,672 "," 86,233 "," 109,119 "," 108,758 "," 97,499 "," 99,589 "," 101,906 "," 101,908 "," 90,489 "," 55,024 "," 37,673 "," 23,844 "," 10,821 "," 3,332 ", 620 ,
, 計 ," 2,338,648 "," 16,187 "," 72,942 "," 17,120 "," 17,062 "," 19,220 "," 19,540 "," 112,804 "," 112,584 "," 110,528 "," 133,526 "," 159,525 "," 174,036 "," 170,851 "," 207,336 "," 198,711 "," 172,071 "," 167,014 "," 159,058 "," 140,229 "," 108,640 "," 55,858 "," 35,538 "," 19,161 "," 8,732 "," 2,900 ", 417 ,
 桃 園 市 , 男 ," 1,151,696 "," 8,408 "," 37,584 "," 8,805 "," 8,735 "," 9,966 "," 10,078 "," 58,490 "," 58,438 "," 57,914 "," 69,591 "," 81,942 "," 88,839 "," 85,754 "," 101,328 "," 97,341 "," 83,189 "," 80,218 "," 75,501 "," 65,592 "," 49,534 "," 24,753 "," 14,598 "," 7,056 "," 3,915 "," 1,505 ", 206 ,
, 女 ," 1,186,952 "," 7,779 "," 35,358 "," 8,315 "," 8,327 "," 9,254 "," 9,462 "," 54,314 "," 54,146 "," 52,614 "," 63,935 "," 77,583 "," 85,197 "," 85,097 "," 106,008 "," 101,370 "," 88,882 "," 86,796 "," 83,557 "," 74,637 "," 59,106 "," 31,105 "," 20,940 "," 12,105 "," 4,817 "," 1,395 ", 211 ,
, 計 ," 2,860,601 "," 16,650 "," 82,483 "," 18,594 "," 19,454 "," 22,038 "," 22,397 "," 136,333 "," 137,105 "," 132,768 "," 160,823 "," 197,567 "," 209,774 "," 207,437 "," 247,436 "," 238,526 "," 207,447 "," 209,318 "," 202,686 "," 175,828 "," 138,272 "," 71,952 "," 47,142 "," 26,817 "," 10,839 "," 2,961 ", 437 ,
 臺 中 市 , 男 ," 1,396,597 "," 8,549 "," 42,853 "," 9,795 "," 10,096 "," 11,365 "," 11,597 "," 70,820 "," 70,919 "," 68,884 "," 82,922 "," 101,506 "," 106,736 "," 103,875 "," 120,787 "," 114,743 "," 97,377 "," 98,532 "," 94,941 "," 82,085 "," 63,463 "," 32,194 "," 19,590 "," 10,174 "," 4,137 "," 1,304 ", 206 ,
, 女 ," 1,464,004 "," 8,101 "," 39,630 "," 8,799 "," 9,358 "," 10,673 "," 10,800 "," 65,513 "," 66,186 "," 63,884 "," 77,901 "," 96,061 "," 103,038 "," 103,562 "," 126,649 "," 123,783 "," 110,070 "," 110,786 "," 107,745 "," 93,743 "," 74,809 "," 39,758 "," 27,552 "," 16,643 "," 6,702 "," 1,657 ", 231 ,
, 計 ," 1,858,651 "," 9,102 "," 44,489 "," 9,808 "," 10,332 "," 11,882 "," 12,467 "," 76,527 "," 78,511 "," 77,601 "," 93,868 "," 115,966 "," 125,782 "," 129,273 "," 159,817 "," 156,985 "," 135,892 "," 143,340 "," 147,383 "," 129,609 "," 101,381 "," 55,201 "," 39,643 "," 24,496 "," 10,865 "," 2,607 ", 313 ,
 臺 南 市 , 男 ," 921,613 "," 4,735 "," 23,259 "," 5,075 "," 5,424 "," 6,230 "," 6,530 "," 39,678 "," 40,663 "," 40,284 "," 48,816 "," 60,664 "," 65,359 "," 66,162 "," 79,200 "," 78,029 "," 66,043 "," 69,928 "," 71,799 "," 63,060 "," 48,151 "," 25,012 "," 16,537 "," 9,368 "," 3,868 ", 919 , 79 ,
, 女 ," 937,038 "," 4,367 "," 21,230 "," 4,733 "," 4,908 "," 5,652 "," 5,937 "," 36,849 "," 37,848 "," 37,317 "," 45,052 "," 55,302 "," 60,423 "," 63,111 "," 80,617 "," 78,956 "," 69,849 "," 73,412 "," 75,584 "," 66,549 "," 53,230 "," 30,189 "," 23,106 "," 15,128 "," 6,997 "," 1,688 ", 234 ,
, 計 ," 2,731,412 "," 15,038 "," 67,910 "," 15,763 "," 15,896 "," 18,012 "," 18,239 "," 107,396 "," 109,893 "," 113,502 "," 141,067 "," 173,444 "," 185,266 "," 181,615 "," 225,389 "," 234,992 "," 213,165 "," 210,879 "," 207,589 "," 191,512 "," 161,593 "," 87,837 "," 57,315 "," 30,585 "," 11,932 "," 3,070 ", 423 ,
 高 雄 市 , 男 ," 1,337,224 "," 7,789 "," 35,129 "," 8,221 "," 8,252 "," 9,235 "," 9,421 "," 55,590 "," 56,878 "," 58,863 "," 73,300 "," 89,242 "," 95,732 "," 92,031 "," 111,122 "," 114,575 "," 103,345 "," 102,446 "," 98,682 "," 88,554 "," 73,229 "," 38,790 "," 24,014 "," 11,517 "," 4,781 "," 1,421 ", 194 ,
, 女 ," 1,394,188 "," 7,249 "," 32,781 "," 7,542 "," 7,644 "," 8,777 "," 8,818 "," 51,806 "," 53,015 "," 54,639 "," 67,767 "," 84,202 "," 89,534 "," 89,584 "," 114,267 "," 120,417 "," 109,820 "," 108,433 "," 108,907 "," 102,958 "," 88,364 "," 49,047 "," 33,301 "," 19,068 "," 7,151 "," 1,649 ", 229 ,
, 計 ," 6,915,487 "," 40,667 "," 174,238 "," 39,886 "," 40,557 "," 46,133 "," 47,662 "," 279,459 "," 291,282 "," 305,448 "," 394,731 "," 464,075 "," 469,808 "," 450,928 "," 552,024 "," 556,756 "," 510,863 "," 529,873 "," 532,133 "," 457,939 "," 365,254 "," 211,921 "," 165,409 "," 105,581 "," 44,480 "," 11,192 "," 1,426 ",
 臺 灣 省 , 男 ," 3,499,730 "," 21,070 "," 90,318 "," 20,623 "," 21,035 "," 23,867 "," 24,793 "," 144,936 "," 151,263 "," 159,931 "," 207,321 "," 243,550 "," 249,640 "," 236,807 "," 280,016 "," 280,300 "," 258,629 "," 273,604 "," 271,775 "," 227,943 "," 174,834 "," 96,018 "," 70,293 "," 41,150 "," 15,832 "," 3,973 ", 527 ,
, 女 ," 3,415,757 "," 19,597 "," 83,920 "," 19,263 "," 19,522 "," 22,266 "," 22,869 "," 134,523 "," 140,019 "," 145,517 "," 187,410 "," 220,525 "," 220,168 "," 214,121 "," 272,008 "," 276,456 "," 252,234 "," 256,269 "," 260,358 "," 229,996 "," 190,420 "," 115,903 "," 95,116 "," 64,431 "," 28,648 "," 7,219 ", 899 ,
, 計 ," 449,212 "," 2,386 "," 11,150 "," 2,500 "," 2,520 "," 3,069 "," 3,061 "," 18,007 "," 18,516 "," 19,141 "," 24,760 "," 30,871 "," 31,654 "," 28,960 "," 34,075 "," 34,485 "," 33,763 "," 35,793 "," 36,033 "," 30,368 "," 23,504 "," 13,034 "," 11,519 "," 7,354 "," 2,990 ", 756 , 93 ,
 宜 蘭 縣 , 男 ," 225,131 "," 1,245 "," 5,743 "," 1,302 "," 1,274 "," 1,617 "," 1,550 "," 9,251 "," 9,630 "," 9,911 "," 12,860 "," 16,225 "," 16,716 "," 15,149 "," 17,075 "," 17,073 "," 16,841 "," 18,123 "," 17,991 "," 14,948 "," 11,119 "," 5,992 "," 4,955 "," 2,907 "," 1,085 ", 264 , 28 ,
, 女 ," 224,081 "," 1,141 "," 5,407 "," 1,198 "," 1,246 "," 1,452 "," 1,511 "," 8,756 "," 8,886 "," 9,230 "," 11,900 "," 14,646 "," 14,938 "," 13,811 "," 17,000 "," 17,412 "," 16,922 "," 17,670 "," 18,042 "," 15,420 "," 12,385 "," 7,042 "," 6,564 "," 4,447 "," 1,905 ", 492 , 65 ,
, 計 ," 594,641 "," 3,925 "," 20,752 "," 4,655 "," 4,852 "," 5,538 "," 5,707 "," 32,583 "," 32,708 "," 30,864 "," 33,983 "," 38,431 "," 43,049 "," 43,108 "," 53,692 "," 52,519 "," 44,843 "," 40,540 "," 37,556 "," 29,779 "," 22,455 "," 12,798 "," 10,632 "," 6,767 "," 2,762 ", 798 , 97 ,
 新 竹 縣 , 男 ," 302,644 "," 2,010 "," 10,699 "," 2,395 "," 2,554 "," 2,809 "," 2,941 "," 17,042 "," 16,804 "," 16,218 "," 17,906 "," 20,304 "," 23,111 "," 22,369 "," 26,739 "," 25,810 "," 22,603 "," 20,773 "," 19,258 "," 15,173 "," 10,823 "," 5,972 "," 4,734 "," 2,828 "," 1,123 ", 308 , 37 ,
, 女 ," 291,997 "," 1,915 "," 10,053 "," 2,260 "," 2,298 "," 2,729 "," 2,766 "," 15,541 "," 15,904 "," 14,646 "," 16,077 "," 18,127 "," 19,938 "," 20,739 "," 26,953 "," 26,709 "," 22,240 "," 19,767 "," 18,298 "," 14,606 "," 11,632 "," 6,826 "," 5,898 "," 3,939 "," 1,639 ", 490 , 60 ,
, 計 ," 532,854 "," 2,353 "," 11,782 "," 2,526 "," 2,653 "," 3,182 "," 3,421 "," 22,599 "," 23,651 "," 24,183 "," 30,504 "," 35,141 "," 36,642 "," 35,939 "," 44,365 "," 42,271 "," 38,576 "," 39,615 "," 41,065 "," 34,839 "," 27,188 "," 15,953 "," 13,004 "," 8,393 "," 3,687 ", 994 , 110 ,
 苗 栗 縣 , 男 ," 273,824 "," 1,163 "," 6,111 "," 1,338 "," 1,375 "," 1,632 "," 1,766 "," 11,691 "," 12,208 "," 12,693 "," 16,267 "," 18,753 "," 20,131 "," 19,249 "," 22,823 "," 21,481 "," 19,969 "," 20,682 "," 21,161 "," 17,831 "," 13,139 "," 7,421 "," 5,735 "," 3,524 "," 1,419 ", 342 , 31 ,
, 女 ," 259,030 "," 1,190 "," 5,671 "," 1,188 "," 1,278 "," 1,550 "," 1,655 "," 10,908 "," 11,443 "," 11,490 "," 14,237 "," 16,388 "," 16,511 "," 16,690 "," 21,542 "," 20,790 "," 18,607 "," 18,933 "," 19,904 "," 17,008 "," 14,049 "," 8,532 "," 7,269 "," 4,869 "," 2,268 ", 652 , 79 ,
, 計 ," 1,225,675 "," 7,989 "," 33,690 "," 8,099 "," 7,883 "," 8,846 "," 8,862 "," 49,530 "," 51,595 "," 55,538 "," 72,565 "," 83,670 "," 84,804 "," 83,980 "," 100,617 "," 98,486 "," 85,119 "," 87,987 "," 91,181 "," 79,894 "," 64,101 "," 37,153 "," 28,664 "," 18,922 "," 8,142 "," 1,817 ", 231 ,
 彰 化 縣 , 男 ," 621,327 "," 4,152 "," 17,535 "," 4,213 "," 4,070 "," 4,586 "," 4,666 "," 25,779 "," 26,919 "," 29,229 "," 38,121 "," 43,530 "," 44,416 "," 43,918 "," 51,279 "," 50,480 "," 43,583 "," 45,288 "," 46,361 "," 39,880 "," 30,943 "," 16,985 "," 12,396 "," 7,274 "," 2,681 ", 522 , 56 ,
, 女 ," 604,348 "," 3,837 "," 16,155 "," 3,886 "," 3,813 "," 4,260 "," 4,196 "," 23,751 "," 24,676 "," 26,309 "," 34,444 "," 40,140 "," 40,388 "," 40,062 "," 49,338 "," 48,006 "," 41,536 "," 42,699 "," 44,820 "," 40,014 "," 33,158 "," 20,168 "," 16,268 "," 11,648 "," 5,461 "," 1,295 ", 175 ,
, 計 ," 472,299 "," 2,319 "," 10,429 "," 2,363 "," 2,425 "," 2,745 "," 2,896 "," 17,131 "," 18,028 "," 19,733 "," 26,490 "," 31,615 "," 32,020 "," 29,548 "," 35,168 "," 35,263 "," 33,833 "," 38,151 "," 39,891 "," 34,410 "," 27,345 "," 15,946 "," 12,354 "," 8,151 "," 3,532 ", 837 , 105 ,
 南 投 縣 , 男 ," 240,207 "," 1,236 "," 5,430 "," 1,205 "," 1,265 "," 1,447 "," 1,513 "," 8,885 "," 9,401 "," 10,202 "," 13,867 "," 16,608 "," 17,319 "," 15,952 "," 18,284 "," 18,020 "," 16,982 "," 19,581 "," 20,223 "," 17,215 "," 13,412 "," 7,342 "," 5,298 "," 3,277 "," 1,329 ", 304 , 40 ,
, 女 ," 232,092 "," 1,083 "," 4,999 "," 1,158 "," 1,160 "," 1,298 "," 1,383 "," 8,246 "," 8,627 "," 9,531 "," 12,623 "," 15,007 "," 14,701 "," 13,596 "," 16,884 "," 17,243 "," 16,851 "," 18,570 "," 19,668 "," 17,195 "," 13,933 "," 8,604 "," 7,056 "," 4,874 "," 2,203 ", 533 , 65 ,
, 計 ," 658,427 "," 5,789 "," 14,840 "," 3,363 "," 3,453 "," 3,918 "," 4,106 "," 23,573 "," 25,681 "," 28,811 "," 38,779 "," 44,408 "," 41,244 "," 40,940 "," 51,361 "," 54,102 "," 48,396 "," 51,169 "," 50,405 "," 42,850 "," 35,381 "," 22,792 "," 18,945 "," 12,474 "," 5,198 "," 1,172 ", 117 ,
 雲 林 縣 , 男 ," 338,587 "," 3,039 "," 7,710 "," 1,768 "," 1,794 "," 2,037 "," 2,111 "," 12,177 "," 13,191 "," 15,155 "," 20,407 "," 23,315 "," 21,877 "," 21,635 "," 26,275 "," 27,781 "," 25,504 "," 28,311 "," 27,509 "," 22,282 "," 17,474 "," 10,375 "," 7,896 "," 4,676 "," 1,657 ", 317 , 24 ,
, 女 ," 319,840 "," 2,750 "," 7,130 "," 1,595 "," 1,659 "," 1,881 "," 1,995 "," 11,396 "," 12,490 "," 13,656 "," 18,372 "," 21,093 "," 19,367 "," 19,305 "," 25,086 "," 26,321 "," 22,892 "," 22,858 "," 22,896 "," 20,568 "," 17,907 "," 12,417 "," 11,049 "," 7,798 "," 3,541 ", 855 , 93 ,
, 計 ," 478,786 "," 2,171 "," 9,474 "," 2,269 "," 2,174 "," 2,440 "," 2,591 "," 13,847 "," 14,707 "," 18,804 "," 27,956 "," 32,282 "," 30,864 "," 28,322 "," 35,138 "," 36,374 "," 36,287 "," 40,097 "," 41,399 "," 35,094 "," 28,578 "," 17,174 "," 14,484 "," 10,060 "," 4,507 "," 1,049 ", 118 ,
 嘉 義 縣 , 男 ," 247,718 "," 1,124 "," 4,894 "," 1,166 "," 1,141 "," 1,269 "," 1,318 "," 7,121 "," 7,696 "," 9,892 "," 14,731 "," 17,174 "," 16,792 "," 15,544 "," 18,295 "," 18,589 "," 18,907 "," 21,735 "," 22,650 "," 18,555 "," 14,312 "," 7,873 "," 6,035 "," 3,937 "," 1,482 ", 343 , 37 ,
, 女 ," 231,068 "," 1,047 "," 4,580 "," 1,103 "," 1,033 "," 1,171 "," 1,273 "," 6,726 "," 7,011 "," 8,912 "," 13,225 "," 15,108 "," 14,072 "," 12,778 "," 16,843 "," 17,785 "," 17,380 "," 18,362 "," 18,749 "," 16,539 "," 14,266 "," 9,301 "," 8,449 "," 6,123 "," 3,025 ", 706 , 81 ,
, 計 ," 789,239 "," 4,239 "," 17,649 "," 4,222 "," 4,014 "," 4,559 "," 4,854 "," 28,486 "," 28,976 "," 31,176 "," 43,982 "," 54,202 "," 53,315 "," 49,673 "," 60,093 "," 63,040 "," 59,296 "," 64,399 "," 65,181 "," 56,637 "," 45,834 "," 26,172 "," 19,557 "," 11,753 "," 4,444 "," 1,017 ", 118 ,
 屏 東 縣 , 男 ," 399,227 "," 2,193 "," 9,117 "," 2,130 "," 2,070 "," 2,367 "," 2,550 "," 14,838 "," 15,086 "," 16,254 "," 22,860 "," 28,631 "," 28,346 "," 26,407 "," 30,996 "," 32,254 "," 29,821 "," 33,185 "," 32,873 "," 27,533 "," 21,762 "," 11,785 "," 8,480 "," 4,729 "," 1,641 ", 392 , 44 ,
, 女 ," 390,012 "," 2,046 "," 8,532 "," 2,092 "," 1,944 "," 2,192 "," 2,304 "," 13,648 "," 13,890 "," 14,922 "," 21,122 "," 25,571 "," 24,969 "," 23,266 "," 29,097 "," 30,786 "," 29,475 "," 31,214 "," 32,308 "," 29,104 "," 24,072 "," 14,387 "," 11,077 "," 7,024 "," 2,803 ", 625 , 74 ,
, 計 ," 210,219 "," 1,407 "," 5,372 "," 1,339 "," 1,292 "," 1,381 "," 1,360 "," 7,912 "," 8,324 "," 9,058 "," 11,923 "," 14,290 "," 14,132 "," 12,808 "," 15,566 "," 16,132 "," 16,798 "," 17,311 "," 16,902 "," 14,484 "," 11,381 "," 6,813 "," 4,924 "," 2,983 "," 1,251 ", 388 , 60 ,
 臺 東 縣 , 男 ," 107,085 ", 713 ," 2,786 ", 707 , 653 , 742 , 684 ," 4,138 "," 4,375 "," 4,778 "," 6,215 "," 7,366 "," 7,551 "," 6,842 "," 8,139 "," 8,314 "," 8,765 "," 9,211 "," 8,721 "," 7,156 "," 5,198 "," 2,944 "," 2,031 "," 1,137 ", 482 , 188 , 35 ,
, 女 ," 103,134 ", 694 ," 2,586 ", 632 , 639 , 639 , 676 ," 3,774 "," 3,949 "," 4,280 "," 5,708 "," 6,924 "," 6,581 "," 5,966 "," 7,427 "," 7,818 "," 8,033 "," 8,100 "," 8,181 "," 7,328 "," 6,183 "," 3,869 "," 2,893 "," 1,846 ", 769 , 200 , 25 ,
, 計 ," 315,374 "," 1,730 "," 7,846 "," 1,791 "," 1,946 "," 2,053 "," 2,056 "," 12,395 "," 12,654 "," 13,378 "," 17,344 "," 21,323 "," 21,549 "," 19,346 "," 23,786 "," 24,506 "," 24,379 "," 25,027 "," 24,999 "," 22,737 "," 17,844 "," 10,223 "," 7,384 "," 4,405 "," 1,895 ", 546 , 78 ,
 花 蓮 縣 , 男 ," 158,193 ", 901 ," 4,091 ", 915 ," 1,044 "," 1,048 "," 1,084 "," 6,464 "," 6,685 "," 6,993 "," 9,031 "," 11,177 "," 11,338 "," 10,141 "," 12,185 "," 12,301 "," 12,068 "," 12,865 "," 12,420 "," 10,964 "," 8,430 "," 4,440 "," 3,007 "," 1,695 ", 696 , 254 , 47 ,
, 女 ," 157,181 ", 829 ," 3,755 ", 876 , 902 ," 1,005 ", 972 ," 5,931 "," 5,969 "," 6,385 "," 8,313 "," 10,146 "," 10,211 "," 9,205 "," 11,601 "," 12,205 "," 12,311 "," 12,162 "," 12,579 "," 11,773 "," 9,414 "," 5,783 "," 4,377 "," 2,710 "," 1,199 ", 292 , 31 ,
, 計 ," 107,901 ", 722 ," 3,051 ", 707 , 730 , 800 , 814 ," 3,366 "," 3,215 "," 4,434 "," 7,259 "," 7,935 "," 7,876 "," 7,328 "," 8,164 "," 8,209 "," 7,970 "," 8,332 "," 8,565 "," 7,438 "," 5,737 "," 3,340 "," 2,261 "," 1,643 ", 816 , 218 , 22 ,
 澎 湖 縣 , 男 ," 55,167 ", 355 ," 1,558 ", 349 , 359 , 411 , 439 ," 1,760 "," 1,696 "," 2,355 "," 4,027 "," 4,252 "," 4,224 "," 3,815 "," 4,047 "," 4,050 "," 4,106 "," 4,342 "," 4,439 "," 3,847 "," 2,742 "," 1,547 ", 988 , 640 , 293 , 77 , 7 ,
, 女 ," 52,734 ", 367 ," 1,493 ", 358 , 371 , 389 , 375 ," 1,606 "," 1,519 "," 2,079 "," 3,232 "," 3,683 "," 3,652 "," 3,513 "," 4,117 "," 4,159 "," 3,864 "," 3,990 "," 4,126 "," 3,591 "," 2,995 "," 1,793 "," 1,273 "," 1,003 ", 523 , 141 , 15 ,
, 計 ," 361,441 "," 1,354 "," 7,035 "," 1,404 "," 1,648 "," 1,907 "," 2,076 "," 12,740 "," 13,095 "," 14,052 "," 18,655 "," 24,241 "," 25,096 "," 22,667 "," 27,357 "," 28,711 "," 28,382 "," 30,206 "," 31,006 "," 28,205 "," 22,265 "," 11,267 "," 7,989 "," 4,599 "," 1,855 ", 550 , 114 ,
 基 隆 市 , 男 ," 179,315 ", 689 ," 3,679 ", 722 , 880 ," 1,009 "," 1,068 "," 6,579 "," 6,731 "," 7,308 "," 9,839 "," 12,694 "," 13,263 "," 11,849 "," 13,894 "," 14,157 "," 13,971 "," 14,904 "," 15,182 "," 13,432 "," 10,249 "," 5,051 "," 3,303 "," 1,581 ", 659 , 237 , 64 ,
, 女 ," 182,126 ", 665 ," 3,356 ", 682 , 768 , 898 ," 1,008 "," 6,161 "," 6,364 "," 6,744 "," 8,816 "," 11,547 "," 11,833 "," 10,818 "," 13,463 "," 14,554 "," 14,411 "," 15,302 "," 15,824 "," 14,773 "," 12,016 "," 6,216 "," 4,686 "," 3,018 "," 1,196 ", 313 , 50 ,
, 計 ," 457,242 "," 3,123 "," 14,823 "," 3,275 "," 3,487 "," 3,979 "," 4,082 "," 25,523 "," 27,304 "," 23,825 "," 25,008 "," 27,710 "," 30,394 "," 31,943 "," 42,308 "," 41,509 "," 33,867 "," 31,083 "," 28,439 "," 24,345 "," 19,863 "," 11,111 "," 7,841 "," 4,496 "," 1,935 ", 675 , 117 ,
 新 竹 市 , 男 ," 225,641 "," 1,638 "," 7,700 "," 1,709 "," 1,808 "," 2,025 "," 2,158 "," 13,201 "," 14,149 "," 12,488 "," 13,091 "," 14,374 "," 15,761 "," 15,998 "," 20,395 "," 20,216 "," 16,708 "," 15,166 "," 13,789 "," 11,259 "," 9,037 "," 4,828 "," 3,104 "," 1,623 ", 757 , 301 , 58 ,
, 女 ," 231,601 "," 1,485 "," 7,123 "," 1,566 "," 1,679 "," 1,954 "," 1,924 "," 12,322 "," 13,155 "," 11,337 "," 11,917 "," 13,336 "," 14,633 "," 15,945 "," 21,913 "," 21,293 "," 17,159 "," 15,917 "," 14,650 "," 13,086 "," 10,826 "," 6,283 "," 4,737 "," 2,873 "," 1,178 ", 374 , 59 ,
, 計 ," 262,177 "," 1,160 "," 6,345 "," 1,373 "," 1,480 "," 1,716 "," 1,776 "," 11,767 "," 12,828 "," 12,451 "," 15,523 "," 17,956 "," 17,169 "," 16,366 "," 20,334 "," 21,149 "," 19,354 "," 20,163 "," 19,511 "," 16,859 "," 13,778 "," 8,145 "," 5,851 "," 3,581 "," 1,466 ", 375 , 46 ,
 嘉 義 市 , 男 ," 125,664 ", 612 ," 3,265 ", 704 , 748 , 868 , 945 ," 6,010 "," 6,692 "," 6,455 "," 8,099 "," 9,147 "," 8,795 "," 7,939 "," 9,590 "," 9,774 "," 8,801 "," 9,438 "," 9,198 "," 7,868 "," 6,194 "," 3,463 "," 2,331 "," 1,322 ", 528 , 124 , 19 ,
, 女 ," 136,513 ", 548 ," 3,080 ", 669 , 732 , 848 , 831 ," 5,757 "," 6,136 "," 5,996 "," 7,424 "," 8,809 "," 8,374 "," 8,427 "," 10,744 "," 11,375 "," 10,553 "," 10,725 "," 10,313 "," 8,991 "," 7,584 "," 4,682 "," 3,520 "," 2,259 ", 938 , 251 , 27 ,
, 計 ," 157,551 ", 740 ," 3,139 ", 701 , 746 , 847 , 845 ," 4,336 "," 4,452 "," 6,145 "," 10,449 "," 12,428 "," 12,705 "," 11,015 "," 11,092 "," 11,337 "," 12,451 "," 14,411 "," 14,401 "," 11,654 "," 7,502 "," 3,690 "," 2,682 "," 1,784 ", 823 , 260 , 55 ,
 福 建 省 , 男 ," 79,308 ", 417 ," 1,644 ", 370 , 385 , 444 , 445 ," 2,239 "," 2,335 "," 3,203 "," 5,413 "," 6,414 "," 6,525 "," 5,641 "," 5,540 "," 5,400 "," 6,268 "," 7,157 "," 7,250 "," 5,950 "," 3,725 "," 1,800 "," 1,273 ", 769 , 278 , 56 , 11 ,
, 女 ," 78,243 ", 323 ," 1,495 ", 331 , 361 , 403 , 400 ," 2,097 "," 2,117 "," 2,942 "," 5,036 "," 6,014 "," 6,180 "," 5,374 "," 5,552 "," 5,937 "," 6,183 "," 7,254 "," 7,151 "," 5,704 "," 3,777 "," 1,890 "," 1,409 "," 1,015 ", 545 , 204 , 44 ,
, 計 ," 143,601 ", 645 ," 2,782 ", 612 , 659 , 755 , 756 ," 3,874 "," 3,987 "," 5,589 "," 9,562 "," 11,235 "," 11,424 "," 10,030 "," 10,059 "," 10,293 "," 11,324 "," 13,292 "," 13,299 "," 10,711 "," 6,918 "," 3,348 "," 2,520 "," 1,664 ", 763 , 236 , 46 ,
