 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國113年底 ,,,,,,,,,,,,,, 中華民國113年底 ,,,,,,,   單位：人 ,,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,400,220 "," 131,488 "," 605,039 "," 137,611 "," 141,418 "," 160,868 "," 165,142 "," 987,340 "," 1,018,519 "," 1,014,757 "," 1,250,320 "," 1,509,963 "," 1,606,517 "," 1,593,037 "," 1,956,963 "," 1,954,903 "," 1,746,713 "," 1,770,457 "," 1,765,497 "," 1,578,864 "," 1,277,079 "," 704,288 "," 484,997 "," 283,742 "," 120,767 "," 33,805 "," 5,165 ",
 總　　計 , 男 ," 11,526,193 "," 68,038 "," 313,029 "," 71,245 "," 73,121 "," 83,003 "," 85,660 "," 511,337 "," 527,548 "," 528,930 "," 651,847 "," 781,870 "," 831,003 "," 807,507 "," 965,271 "," 956,248 "," 848,743 "," 861,080 "," 849,692 "," 746,500 "," 589,929 "," 314,904 "," 203,244 "," 107,645 "," 45,718 "," 13,903 "," 2,207 ",
, 女 ," 11,874,027 "," 63,450 "," 292,010 "," 66,366 "," 68,297 "," 77,865 "," 79,482 "," 476,003 "," 490,971 "," 485,827 "," 598,473 "," 728,093 "," 775,514 "," 785,530 "," 991,692 "," 998,655 "," 897,970 "," 909,377 "," 915,805 "," 832,364 "," 687,150 "," 389,384 "," 281,753 "," 176,097 "," 75,049 "," 19,902 "," 2,958 ",
, 計 ," 4,047,001 "," 17,922 "," 96,497 "," 21,093 "," 22,983 "," 25,917 "," 26,504 "," 162,497 "," 168,178 "," 169,861 "," 207,958 "," 253,037 "," 278,776 "," 279,657 "," 349,058 "," 355,068 "," 313,287 "," 311,842 "," 314,871 "," 286,578 "," 230,192 "," 119,509 "," 73,223 "," 37,683 "," 15,368 "," 4,970 ", 969 ,
 新 北 市 , 男 ," 1,965,488 "," 9,232 "," 49,688 "," 10,824 "," 11,871 "," 13,305 "," 13,688 "," 83,846 "," 86,922 "," 88,519 "," 108,816 "," 130,909 "," 144,474 "," 141,209 "," 171,586 "," 172,090 "," 149,854 "," 145,004 "," 144,274 "," 129,709 "," 103,237 "," 53,041 "," 30,567 "," 13,820 "," 6,000 "," 2,212 ", 479 ,
, 女 ," 2,081,513 "," 8,690 "," 46,809 "," 10,269 "," 11,112 "," 12,612 "," 12,816 "," 78,651 "," 81,256 "," 81,342 "," 99,142 "," 122,128 "," 134,302 "," 138,448 "," 177,472 "," 182,978 "," 163,433 "," 166,838 "," 170,597 "," 156,869 "," 126,955 "," 66,468 "," 42,656 "," 23,863 "," 9,368 "," 2,758 ", 490 ,
, 計 ," 2,490,869 "," 15,182 "," 63,341 "," 14,646 "," 14,388 "," 16,819 "," 17,488 "," 107,988 "," 116,514 "," 98,904 "," 107,898 "," 133,921 "," 150,370 "," 162,261 "," 204,811 "," 202,528 "," 181,537 "," 183,780 "," 187,376 "," 185,515 "," 164,245 "," 98,320 "," 64,045 "," 37,635 "," 17,728 "," 5,845 "," 1,125 ",
 臺 北 市 , 男 ," 1,174,537 "," 7,838 "," 32,554 "," 7,532 "," 7,323 "," 8,591 "," 9,108 "," 55,738 "," 60,130 "," 51,332 "," 55,668 "," 67,643 "," 73,698 "," 76,028 "," 95,692 "," 93,770 "," 84,038 "," 84,191 "," 85,470 "," 83,607 "," 73,756 "," 43,296 "," 26,372 "," 13,791 "," 6,907 "," 2,513 ", 505 ,
