year,city,total
114,高雄市,6867267
114,桃園市,2868465
114,臺南市,2718545
114,新北市,2439507
114,臺北市,2355106
114,臺中市,1852477
114,苗栗縣,1210206
114,嘉義縣,782256
114,南投縣,650989
114,宜蘭縣,597235
114,新竹縣,531172
114,雲林縣,473181
114,彰化縣,467881
114,基隆市,455740
114,澎湖縣,359836
114,臺東縣,312807
114,新竹市,261592
114,屏東縣,208320
114,嘉義市,152934
114,花蓮縣,106716
114,金門縣,13621
